,33 Trial 1,33 Trial 2,33 Trial 3,33-Triton Trial 1,33-Triton Trial 2,33-Triton Trial 3
Time,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
1,107.294,99.563999,90.448999,76.345,92.480999,84.046
2,105.930333,98.596666,90.141666,74.324999,90.755666,81.804999
3,104.740666,97.866,89.741,72.066,89.084999,79.616999
4,103.615,97.532333,89.283999,69.677666,87.458333,77.497666
5,102.564,97.171333,89.108333,67.337666,85.913666,75.440999
6,101.491333,96.833666,88.874666,65.176666,84.273,73.458333
7,100.488,96.421333,88.574666,63.063666,82.648999,71.577
8,99.567666,95.945333,88.214666,61.08,80.930666,69.782666
9,98.577333,95.495333,87.930666,59.133666,79.284333,68.022
10,97.549666,95.022333,87.755,57.291333,77.685999,66.306666
11,96.569666,94.707666,87.611666,55.556,76.302,64.775666
12,95.741333,94.337666,87.423,53.882333,74.914999,63.332666
13,94.991666,93.906666,87.164999,52.224,73.544666,61.919333
14,94.178999,93.463666,86.871333,50.648666,72.133,60.484
15,93.348999,93.071999,86.628,49.165333,70.765666,59.107666
16,92.56,92.685666,86.339666,47.757666,69.414999,57.784333
17,91.781666,92.236333,86.047666,46.367999,68.121,56.465
18,90.975666,91.838333,85.812666,45.007333,66.948333,55.181
19,90.137666,91.574666,85.604666,43.752,65.834333,53.986999
20,89.327999,91.351999,85.469333,42.602333,64.701333,52.850333
21,88.586,91.071666,85.336666,41.527666,63.512333,51.724
22,87.885666,90.651,85.197666,40.488666,62.340333,50.674666
23,87.325999,90.172,85.087999,39.482333,61.148999,49.679666
24,86.649333,89.725333,84.937,38.488,60.037666,48.806666
25,85.961666,89.364666,85.015333,37.439666,58.956,47.966
26,85.232333,89.081999,85.033999,36.454,57.944,47.177333
27,84.723666,88.701666,85.009666,35.553333,56.951,46.433
28,84.098,88.334999,84.839999,34.801333,55.977666,45.708333
29,83.307666,87.946,84.596,34.076666,55.042666,45.005333
30,82.354999,87.650666,84.448666,33.318666,54.151333,44.255333
31,81.699999,87.33,84.282666,32.559333,53.318666,43.535999
32,81.206666,86.984666,84.074333,31.731,52.464666,42.794
33,80.834333,86.544333,83.94,31.019333,51.566666,42.186333
34,80.282999,86.147,83.729333,30.322666,50.562333,41.557
35,79.765666,85.777333,83.615333,29.746333,49.679333,40.915666
36,79.119333,85.485333,83.233333,29.113666,48.866,40.182
37,78.501333,85.247333,82.999666,28.522333,48.113333,39.432
38,77.914666,85.030666,82.776333,27.914333,47.306333,38.787666
39,77.408333,84.913666,82.672333,27.368666,46.577666,38.229333
40,76.938999,84.703,82.487333,26.885666,45.905333,37.708
41,76.393666,84.417333,82.232333,26.413,45.25,37.193666
42,75.899,84.077666,82.041,25.956,44.525666,36.602
43,75.448333,83.804333,81.855666,25.469333,43.821,36.033333
44,74.968666,83.546666,81.702333,25.033,43.173333,35.521
45,74.464666,83.374999,81.481999,24.621666,42.544,35.059666
46,73.917666,83.255333,81.184,24.235,41.887,34.604666
47,73.359333,83.202333,80.907666,23.858666,41.207666,34.142333
48,72.781333,83.017,80.678333,23.485333,40.566,33.660999
49,72.189666,82.655333,80.456,23.123333,39.962333,33.195333
50,71.640666,82.282666,80.185,22.770333,39.375333,32.799333
51,71.158,81.963333,79.872,22.412333,38.821,32.438666
52,70.742999,81.801999,79.635,22.024333,38.284333,32.054666
53,70.375,81.649999,79.482666,21.67,37.797999,31.599666
54,69.956666,81.435666,79.310333,21.384,37.343,31.139333
55,69.476,81.146999,79.085666,21.114666,36.845333,30.707
56,68.981666,81.027999,78.904333,20.857666,36.347333,30.353333
57,68.533,80.834666,78.741333,20.57,35.765666,30.059
58,68.092666,80.639666,78.566666,20.344,35.354333,29.829333
59,67.685999,80.256666,78.263666,20.127,34.917333,29.525333
60,67.385333,80.012666,78.032333,19.915,34.549666,29.267333
61,66.947999,79.821666,77.773333,19.704333,34.018,28.966333
62,66.59,79.621333,77.559333,19.466666,33.533333,28.677
63,66.055666,79.386,77.214999,19.224,33.093,28.377666
64,65.657,79.092333,76.967,18.970666,32.721666,28.075666
65,65.253,78.86,76.793,18.782666,32.307666,27.840666
66,64.854,78.544333,76.588333,18.67,31.846666,27.633333
67,64.435333,78.286999,76.383,18.538,31.397,27.535
68,63.963666,77.937666,76.165666,18.344666,31.000333,27.333
69,63.530333,77.728666,76.062,18.106666,30.668,27.068666
70,63.116333,77.562666,75.934333,17.925666,30.376,26.744333
71,62.697333,77.387,75.762666,17.771,30.069666,26.515666
72,62.256,77.187333,75.490666,17.598666,29.751,26.281333
73,61.790666,76.933666,75.268666,17.423666,29.389,26.024666
74,61.322,76.776333,75.078666,17.284333,29.06,25.730666
75,60.942333,76.581999,75.023999,17.176333,28.703666,25.464
76,60.638,76.361999,74.958333,17.073666,28.355333,25.273333
77,60.341666,76.143999,74.877666,16.950666,28.012666,25.154333
78,59.999,75.931333,74.664333,16.803666,27.724,25.02
79,59.605333,75.729666,74.373666,16.651666,27.495333,24.820666
80,59.176,75.522333,74.079666,16.537,27.263666,24.616
81,58.786666,75.338666,73.805333,16.462333,27.011,24.472
82,58.463,75.167999,73.599,16.375333,26.730333,24.344666
83,58.116,74.916,73.360333,16.241,26.420333,24.141333
84,57.748333,74.663666,73.241333,16.086,26.130333,23.884333
85,57.361666,74.394333,73.081999,15.976666,25.857666,23.654
86,57.145999,74.239333,72.991666,15.854666,25.599333,23.515666
87,56.856666,74.097,72.804333,15.783,25.381,23.401666
88,56.538666,73.916666,72.651666,15.652666,25.127666,23.268333
89,56.033333,73.594666,72.391666,15.573333,24.959666,23.103
90,55.755,73.295666,72.362666,15.448666,24.789333,22.969333
91,55.498666,73.050333,72.222666,15.357333,24.631,22.797
92,55.361,72.771,72.14,15.264,24.444666,22.725666
93,55.018,72.673666,71.919,15.181333,24.211666,22.610666
94,54.724333,72.529,71.790666,15.148666,23.989,22.580666
95,54.401999,72.459666,71.589,15.109666,23.738333,22.451666
96,54.048333,72.196,71.378999,15.098333,23.519333,22.287333
97,53.674666,71.928333,71.148333,15.013666,23.306666,22.110666
98,53.259333,71.727666,70.997666,14.95,23.086333,21.909333
99,52.96,71.552333,70.837666,14.863,22.856666,21.781666
100,52.698666,71.412333,70.712333,14.799333,22.685,21.628
101,52.485,71.203,70.582666,14.733666,22.531,21.534
102,52.240666,70.968,70.393,14.697,22.401,21.411
103,51.906333,70.794333,70.172666,14.687,22.260333,21.288333
104,51.550999,70.746,69.995333,14.661666,22.123333,21.138666
105,51.203666,70.646666,69.855333,14.607,21.984333,21.059
106,50.955,70.432,69.709,14.565333,21.799,21.013666
107,50.705666,70.108333,69.557,14.524333,21.593333,20.965333
108,50.376666,69.819666,69.458,14.488666,21.393666,20.869333
109,49.968,69.589333,69.387333,14.427333,21.233333,20.761
110,49.598333,69.405,69.199,14.371,21.111666,20.662666
111,49.333666,69.225333,68.904333,14.298666,20.973333,20.567666
112,49.108333,69.01,68.654666,14.201666,20.789,20.486
113,48.903333,68.8,68.512666,14.152666,20.605,20.409
114,48.693666,68.607333,68.439333,14.106,20.476333,20.328333
115,48.408666,68.473,68.311333,14.047,20.401,20.252666
116,48.100999,68.347666,68.170999,13.974,20.322666,20.211333
117,47.763666,68.215666,68.058666,13.922666,20.219333,20.194333
118,47.506,67.984333,67.959,13.916333,20.112333,20.146333
119,47.262666,67.710666,67.777666,13.869333,20.006333,20.042333
120,47.007666,67.419666,67.652999,13.825333,19.879,19.946
121,46.783,67.304666,67.440333,13.774333,19.737666,19.873333
122,46.562333,67.253,67.323666,13.722,19.613333,19.826
123,46.276333,67.145666,67.012333,13.659,19.516666,19.726
124,46.008666,66.998,66.889666,13.633,19.387666,19.630666
125,45.743333,66.738,66.799666,13.629333,19.301333,19.583666
126,45.521333,66.630333,66.691,13.621333,19.202,19.561333
127,45.283,66.447,66.670999,13.544666,19.165333,19.515
128,45.097666,66.332333,66.510666,13.473,19.058333,19.377666
129,44.946,66.083333,66.473,13.427,18.96,19.300333
130,44.768,65.939666,66.232333,13.408666,18.858666,19.221666
131,44.510666,65.824,66.116333,13.391666,18.748333,19.169
132,44.240666,65.757666,66.025,13.345,18.648666,19.092
133,43.959333,65.564333,65.946333,13.287666,18.552,19.064
134,43.682666,65.337666,65.816666,13.266666,18.478333,19.003666
135,43.418333,65.16,65.739333,13.276666,18.377666,18.905
136,43.195333,65.074333,65.694333,13.302,18.268666,18.808
137,43.008333,64.988333,65.638666,13.258333,18.192,18.773666
138,42.773999,64.822999,65.461,13.199333,18.110666,18.732666
139,42.459333,64.592333,65.276666,13.140333,18.026333,18.647
140,42.144666,64.413,65.138333,13.110666,17.930666,18.575333
141,41.913,64.306666,65.006666,13.095333,17.843666,18.524666
142,41.734,64.192999,64.862333,13.075333,17.77,18.467666
143,41.537666,64.024666,64.714,13.048,17.691666,18.420333
144,41.331666,63.818666,64.577666,12.989666,17.617666,18.395333
145,41.138666,63.649,64.456666,12.929,17.562666,18.364333
146,40.924333,63.506666,64.347333,12.898333,17.556666,18.292
147,40.702666,63.309666,64.207333,12.916666,17.552,18.213666
148,40.454666,63.108999,64.095666,12.941,17.489333,18.138666
149,40.29,62.85,63.930333,12.925666,17.365333,18.075
150,40.135,62.687333,63.829333,12.866,17.272,18.011666
151,39.918,62.529,63.687,12.817,17.214666,17.995333
152,39.636333,62.527,63.637333,12.784,17.224,17.932333
153,39.348666,62.443666,63.557333,12.765666,17.210666,17.890333
154,39.216666,62.255333,63.423666,12.748,17.180666,17.782
155,39.084999,62.057666,63.242666,12.703666,17.107333,17.805
156,38.977,61.855,63.099999,12.681,17.032333,17.764666
157,38.751666,61.782,62.919,12.646666,16.995666,17.763333
158,38.565666,61.53,62.840666,12.646666,16.938666,17.699
159,38.328666,61.391,62.790333,12.635333,16.848666,17.662666
160,38.141333,61.232,62.771333,12.629666,16.777666,17.654333
161,37.928666,61.054333,62.644666,12.608,16.716333,17.626
162,37.708,60.824666,62.49,12.577,16.677333,17.611333
163,37.469666,60.639,62.432333,12.555666,16.610666,17.548666
164,37.214333,60.551666,62.301,12.536,16.55,17.528333
165,37.009,60.383333,62.195666,12.516,16.463,17.466666
166,36.855,60.221666,62.038333,12.496333,16.393333,17.423333
167,36.699666,60.125333,61.907,12.484666,16.343666,17.334
168,36.529,60.093999,61.703999,12.488333,16.297,17.286666
169,36.361999,59.94,61.505333,12.486,16.261666,17.276666
170,36.188,59.692666,61.329,12.497666,16.233,17.26
171,36.023,59.489666,61.226666,12.508,16.22,17.223333
172,35.828666,59.380666,61.200333,12.502333,16.182666,17.175666
173,35.598,59.312666,61.138,12.483,16.127333,17.161
174,35.366,59.240666,61.014666,12.454333,16.086666,17.168
175,35.157333,59.160999,60.909666,12.433666,16.049666,17.129666
176,35.020666,59.027666,60.826,12.420666,16.028,17.052666
177,34.896,58.854666,60.742999,12.398666,15.998666,16.965333
178,34.749333,58.658666,60.648666,12.380333,15.964,16.89
179,34.588666,58.459,60.538333,12.349666,15.919666,16.900666
180,34.490333,58.310666,60.479333,12.328333,15.871666,16.939
181,34.351666,58.142333,60.322333,12.318333,15.849666,16.949666
182,34.255666,58.076333,60.195,12.306666,15.816333,16.899333
183,34.042666,58.005666,60.073333,12.316666,15.79,16.846666
184,33.88,57.987666,59.905666,12.296,15.707666,16.838666
185,33.689,57.816333,59.797999,12.302666,15.648,16.757666
186,33.565333,57.696666,59.644,12.281666,15.598666,16.649666
187,33.416333,57.535999,59.637,12.271666,15.581,16.597
188,33.227333,57.382,59.519,12.247,15.538333,16.582
189,32.981666,57.236333,59.438333,12.232,15.506666,16.619
190,32.774333,57.073666,59.302,12.238,15.475,16.569333
191,32.589666,56.991333,59.196333,12.233666,15.447,16.571666
192,32.489999,56.833333,59.151333,12.224,15.43,16.527666
193,32.315666,56.704333,59.082333,12.205,15.428333,16.501333
194,32.162333,56.592,59.069,12.194,15.421,16.437666
195,31.970666,56.493,58.927,12.175666,15.408,16.378666
196,31.838333,56.422333,58.804666,12.168666,15.382333,16.358333
197,31.693666,56.354666,58.613,12.164666,15.378333,16.356666
198,31.594666,56.252333,58.479,12.164333,15.371333,16.381666
199,31.457333,56.080333,58.383666,12.138666,15.343666,16.354333
200,31.304333,55.870666,58.325666,12.11,15.296666,16.307666
201,31.15,55.767333,58.260333,12.114666,15.230333,16.246
202,31.005333,55.762,58.169666,12.135,15.190666,16.226
203,30.862333,55.720666,58.106666,12.133333,15.179,16.208
204,30.729666,55.584,58.054666,12.101666,15.159333,16.164666
205,30.630666,55.404,57.975,12.083333,15.129666,16.148333
206,30.518,55.265,57.873666,12.086666,15.109666,16.147
207,30.359,55.170666,57.767333,12.055,15.107666,16.124
208,30.228666,55.037,57.701666,12.015,15.104666,16.051666
209,30.137,54.908,57.614,11.993,15.077333,16.003
210,30.058666,54.807,57.515333,12.008,15.055,15.976666
211,29.930333,54.761999,57.390333,12.017333,15.049666,15.996666
212,29.749333,54.590666,57.355666,12.004333,15.053,15.98
213,29.635666,54.366,57.265333,12.015,15.033666,15.947666
214,29.519,54.089666,57.145333,11.996,14.982666,15.880333
215,29.451,54.064333,56.972666,11.96,14.925333,15.807
216,29.338,54.036,56.835,11.922,14.914333,15.834666
217,29.235333,53.997333,56.717333,11.943333,14.931,15.789666
218,29.145666,53.913333,56.526333,11.952,14.92,15.789333
219,29.038,53.729333,56.460333,11.935,14.903666,15.734666
220,28.922666,53.676333,56.535666,11.882333,14.909666,15.779
221,28.738333,53.481,56.555,11.857666,14.919666,15.762666
222,28.544,53.502666,56.435666,11.844333,14.922,15.717666
223,28.367,53.350333,56.216333,11.836333,14.882,15.698
224,28.270333,53.260333,56.130666,11.843,14.864333,15.677666
225,28.169666,53.038,56.139,11.866333,14.824,15.645666
226,28.058,52.936666,56.09,11.898666,14.787666,15.604
227,27.928333,52.867333,56.022,11.887666,14.751333,15.595666
228,27.799,52.791333,55.866333,11.836333,14.726333,15.599666
229,27.657666,52.628666,55.720666,11.777,14.728333,15.589
230,27.519333,52.49,55.598333,11.764666,14.733666,15.598
231,27.396333,52.365999,55.469666,11.781333,14.734,15.595333
232,27.304666,52.296666,55.343666,11.780333,14.721666,15.565333
233,27.217,52.246,55.275666,11.749666,14.708,15.516
234,27.139333,52.185333,55.296666,11.723333,14.684333,15.491666
235,27.107333,52.098666,55.316666,11.725666,14.656666,15.480666
236,27.077666,51.975333,55.25,11.728333,14.648333,15.474
237,26.996,51.890666,55.132333,11.707666,14.642333,15.476333
238,26.873333,51.853,55.034666,11.685333,14.627666,15.434333
239,26.704333,51.760333,54.979666,11.672,14.616666,15.406666
240,26.551666,51.642,54.931,11.671333,14.601,15.382333
241,26.399333,51.486333,54.893666,11.656333,14.59,15.383
242,26.302666,51.356666,54.852,11.614666,14.569666,15.358666
243,26.227666,51.247666,54.748666,11.577666,14.555666,15.311
244,26.166666,51.094,54.617,11.600333,14.551333,15.282333
245,26.077666,50.980999,54.382,11.62,14.529,15.286333
246,25.975666,50.899333,54.273333,11.636666,14.546,15.273
247,25.885666,50.868333,54.191,11.624,14.521333,15.262333
248,25.793666,50.697666,54.195666,11.602333,14.521666,15.225
249,25.702333,50.488333,54.165666,11.634,14.455333,15.229666
250,25.573,50.392333,54.146666,11.615,14.471666,15.201
251,25.470666,50.392333,54.068666,11.607666,14.448666,15.199333
252,25.370333,50.395333,53.921666,11.560333,14.449666,15.188
253,25.294333,50.235999,53.791333,11.553666,14.424666,15.175666
254,25.157,50.141333,53.689666,11.561333,14.445333,15.166
255,25.105666,50.042666,53.660333,11.537666,14.487333,15.135666
256,25.013333,49.962666,53.605,11.543333,14.472333,15.139333
257,24.946333,49.843,53.504666,11.541,14.447333,15.116333
258,24.817333,49.723,53.400333,11.535333,14.397666,15.101333
259,24.725,49.680333,53.270999,11.505,14.397,15.075
260,24.685666,49.635666,53.237666,11.491666,14.392,15.072
261,24.625,49.611999,53.200666,11.500333,14.368,15.075
262,24.528666,49.571666,53.134666,11.495,14.326333,15.077333
263,24.397666,49.480999,52.99,11.49,14.289666,15.063333
264,24.282333,49.318333,52.865666,11.467,14.283666,15.050666
265,24.240666,49.113666,52.823333,11.422,14.297666,15.047333
266,24.196,48.953666,52.826333,11.387666,14.323333,15.041333
267,24.074333,48.835666,52.797999,11.393,14.340333,15.03
268,23.931333,48.722333,52.679333,11.427333,14.312666,15.013333
269,23.848666,48.660333,52.569,11.446666,14.25,14.985666
270,23.885,48.615666,52.504666,11.447,14.186333,14.952
271,23.842333,48.565333,52.464666,11.435666,14.172,14.937
272,23.713,48.463666,52.381333,11.429666,14.185,14.932333
273,23.550333,48.380666,52.303333,11.411,14.16,14.959
274,23.446333,48.286666,52.218,11.374,14.149,14.954333
275,23.404,48.204333,52.136666,11.366,14.108333,14.938
276,23.348,48.113,51.993666,11.358666,14.126333,14.886333
277,23.278333,48.074333,51.866666,11.38,14.145,14.868333
278,23.179333,48.033333,51.799666,11.389666,14.128,14.865666
279,23.062333,47.975333,51.758,11.385,14.111666,14.851333
280,22.974666,47.904999,51.719333,11.353666,14.096,14.868333
281,22.894666,47.742333,51.601666,11.373333,14.088,14.858
282,22.834333,47.589333,51.464666,11.348,14.095666,14.878666
283,22.775,47.528666,51.503666,11.333666,14.081333,14.859
284,22.698333,47.497333,51.542,11.242666,14.060666,14.882
285,22.670666,47.446666,51.546333,11.234333,14.024333,14.857333
286,22.631,47.326666,51.433,11.244333,13.982,14.8
287,22.590666,47.215666,51.345333,11.267,13.999666,14.770666
288,22.448,47.105666,51.266666,11.263,14.001,14.802
289,22.338666,46.992333,51.15,11.246,14.003,14.859
290,22.243,46.933666,51.092666,11.255,13.999666,14.838666
291,22.234666,46.881333,51.046666,11.277333,13.986333,14.776666
292,22.219666,46.779,50.958666,11.304666,13.959,14.714
293,22.161,46.634666,50.834333,11.307,13.916,14.695666
294,22.017,46.52,50.718666,11.293666,13.887,14.709666
295,21.866,46.467666,50.617333,11.273333,13.881666,14.732666
296,21.801,46.477666,50.53,11.247,13.905666,14.748666
297,21.776333,46.459666,50.468,11.230333,13.934,14.755
298,21.724,46.376333,50.463666,11.237666,13.936,14.739
299,21.656,46.262,50.513666,11.252333,13.918333,14.709333
300,21.586333,46.096666,50.534333,11.243666,13.884666,14.701333
301,21.502333,45.980333,50.512,11.213666,13.869,14.681
302,21.421666,45.874666,50.442333,11.181,13.888333,14.67
303,21.337333,45.839666,50.306666,11.185333,13.876666,14.619666
304,21.289333,45.812333,50.183333,11.206,13.858333,14.603
305,21.226666,45.711333,50.080666,11.207,13.788,14.604
306,21.235666,45.604,50.006,11.213666,13.779,14.594
307,21.162333,45.568333,49.961666,11.190333,13.754666,14.597333
308,21.125,45.512333,49.897333,11.191,13.751666,14.571666
309,21.021333,45.402333,49.828666,11.154,13.753333,14.589666
310,20.941333,45.163,49.742,11.147,13.777,14.580333
