,Trial 1,Trial 2,Trial 3,Triton Trial 1,Triton Trial 2,Triton Trial 3
Time,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
1,55.682,70.575999,59.301999,61.607,52.129,52.881
2,54.935666,66.888666,56.767333,53.400333,44.372666,43.788333
3,54.215666,63.893666,54.551666,46.375333,37.798,36.249333
4,53.648,61.657999,52.791333,40.801333,32.689666,30.799666
5,53.035333,60.047666,51.185666,36.394,28.590666,26.7
6,52.582333,58.689333,49.742333,32.648,25.300666,23.616666
7,52.026,57.559666,48.41,29.519,22.641,21.199333
8,51.508,56.546,47.252666,26.912333,20.552,19.254666
9,50.939333,55.650666,46.244666,24.726,18.778666,17.669666
10,50.566,54.805,45.248,22.815666,17.357666,16.337
11,50.185666,53.941333,44.313666,21.182333,16.155,15.272
12,49.806666,53.089333,43.407666,19.797666,15.16,14.340666
13,49.377333,52.346999,42.638666,18.602333,14.262,13.519333
14,48.989333,51.707333,41.919999,17.54,13.463,12.802
15,48.623,51.124,41.225333,16.640333,12.783,12.219666
16,48.309,50.562666,40.532999,15.876333,12.207333,11.727666
17,48.040333,50.105,39.896333,15.200333,11.705666,11.289333
18,47.779666,49.725333,39.340666,14.574,11.263666,10.892
19,47.462666,49.305333,38.833333,13.993,10.879333,10.553333
20,47.051666,48.812333,38.352999,13.498333,10.559,10.316666
21,46.691666,48.246333,37.864333,13.076333,10.325333,10.149
22,46.393,47.742333,37.428,12.709,10.168333,10.023
23,46.198333,47.309333,36.981333,12.341333,10.044333,9.875666
24,45.913666,46.991666,36.608666,11.985333,9.887665,9.708666
25,45.627333,46.630333,36.209333,11.674666,9.693999,9.517999
26,45.397666,46.244666,35.826,11.425,9.469666,9.330666
27,45.286666,45.900333,35.456333,11.145,9.254666,9.137333
28,45.130333,45.627,35.072333,10.933333,9.077,8.987666
29,44.907333,45.387666,34.706,10.706333,8.942,8.891
30,44.575,45.034,34.343,10.541,8.840999,8.821999
31,44.317666,44.687666,34.115666,10.397333,8.757332,8.754666
32,44.113,44.465,33.816333,10.280666,8.675333,8.692333
33,43.979666,44.213333,33.611666,10.220333,8.600999,8.649666
34,43.781333,43.97,33.350333,10.144333,8.542,8.582999
35,43.539666,43.637333,33.225666,10.075666,8.458333,8.495999
36,43.281666,43.375666,33.017,10,8.376333,8.420666
37,43.054666,43.132666,32.666,9.899666,8.286,8.374333
38,42.904666,42.949666,32.402,9.828666,8.216333,8.337333
39,42.792333,42.785333,32.184,9.743999,8.153665,8.281666
40,42.664,42.569333,32.087666,9.652333,8.070333,8.228
41,42.425,42.324666,31.898333,9.537,8.001333,8.185333
42,42.224999,42.108,31.634,9.426,7.927333,8.154666
