,0.32 Trial 1,0.32 Trial 2,0.32 Trial 3,0.32-Triton Trial 1,0.32-Triton Trial 2,0.32-Triton Trial 3
Time,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
1,392.422,375.102000,371.687,275.471,261.052,280.91
2,392.846666,374.404333,370.346,275.235333,259.230666,277.861666
3,392.622666,374.127,369.633,273.883666,257.234333,274.925333
4,391.553,374.231,369.368333,271.869666,255.203666,272.350666
5,390.660333,374.973,369.537,269.327666,252.793666,269.730666
6,389.857666,375.830666,369.62,266.883666,250.157333,267.312666
7,389.239333,376.717333,369.657666,264.340666,247.204666,264.838666
8,388.805,376.998,369.326,261.747333,244.023333,262.570333
9,388.303333,376.886999,368.723,259.201999,241.031666,260.455333
10,388.007333,376.422666,368.177666,256.502333,238.132333,258.2
11,387.634333,375.653666,367.842666,253.879333,235.284,255.948666
12,387.317,374.785,367.456,251.338,232.325333,253.523
13,386.781999,374.075666,366.799333,248.912666,229.431,251.259
14,386.126,373.648333,366.199,246.645,226.686,249.001666
15,385.506666,373.343333,365.879666,244.491666,224.118333,246.706666
16,384.819666,373.047333,365.548333,242.199666,221.560666,244.340333
17,384.062333,372.792666,365.026333,239.748666,218.989333,242.049333
18,383.357333,372.612,364.419666,237.282666,216.587666,239.908333
19,382.843,372.436,363.987,234.905666,214.405333,237.786333
20,382.360666,372.234333,363.802666,232.627666,212.317666,235.683666
21,381.531333,372.089,363.595,230.312666,210.140333,233.609333
22,380.673,371.930333,363.341333,228.078333,207.863,231.624333
23,379.97,371.741333,362.702333,225.913333,205.719,229.576
24,379.424,371.517333,362.068666,223.802333,203.495,227.480666
25,378.780333,371.421333,361.542,221.773333,201.243,225.389666
26,378.027,371.213999,361.517333,219.742,198.872,223.255333
27,377.127,371.486666,361.550333,217.639666,196.48,221.178
28,376.489666,371.829666,361.227666,215.781,193.964,219.282333
29,376.092,372.273666,360.604,213.853666,191.802333,217.654333
30,375.620666,372.632666,360.127,212.124333,189.794666,216.022
31,375.225333,373.495666,359.743333,210.059666,188.071,214.176666
32,374.420333,374.816666,359.632333,208.281,186.052666,212.103
33,374.269,375.742,359.025666,206.575,183.899,209.922666
34,373.673333,376.157333,358.599333,204.972,181.825666,207.839666
35,373.253666,376.27,357.951,203.271333,179.806,205.804333
36,372.672666,376.152666,357.590666,201.457666,177.982333,203.873
37,372.465333,375.917666,357.169333,199.611333,176.069666,201.716666
38,372.308666,375.364333,356.480333,197.728333,174.286,199.64
39,371.908666,374.983,355.753666,195.985666,172.553,197.568666
40,371.311,374.347666,355.271333,194.367,170.948,195.751666
41,370.629,373.981666,355.121666,192.724,169.328333,193.882666
42,370.179666,373.481333,354.947333,190.802333,167.629666,192.016666
43,369.812,373.139666,354.605333,188.662333,165.817333,190.042
44,369.484,372.760666,354.149333,186.605,164.096333,188.100666
45,369.167,372.234,353.773666,184.76,162.468,186.251
46,368.954,371.601666,353.444,183.081666,160.983333,184.620666
47,368.770333,370.894333,353.041666,181.382666,159.449666,183.065
48,368.439666,370.476333,352.522333,179.738666,157.984,181.505333
49,368.022666,370.312,352.098,178.179666,156.567,179.863666
50,367.525666,370.110333,351.933333,176.657,155.074666,178.133
51,366.966333,369.728333,351.848333,175.172,153.663,176.536
52,366.549666,369.043666,351.665,173.587,152.196,175.049333
53,366.148666,368.629666,351.354,172.018333,150.759,173.683333
54,365.819333,368.425,350.891333,170.343333,149.338666,172.311
55,365.511666,368.269666,350.319666,168.802666,147.934333,170.762333
56,365.248666,367.832666,349.850333,167.331,146.644333,169.311
57,365.022,367.311,349.714,165.939666,145.163,167.713666
58,364.711666,366.895666,349.799,164.36,143.837666,166.439
59,364.375333,366.533666,349.541333,162.878666,142.606,165.054333
60,364.125666,365.987666,349.103333,161.466333,141.546,163.672
61,363.701666,365.498,348.634666,160.323666,140.283333,162.263333
62,363.444333,364.703333,348.392,159.056333,138.961,160.978666
63,363.261666,364.275333,348.144,157.713666,137.722666,159.868333
64,363.138,364.212333,347.860333,156.185333,136.580666,158.503
65,363.097666,364.363333,347.532333,154.776666,135.493,157.285666
66,362.794,364.148666,347.416666,153.408666,134.261,155.881333
67,362.406666,363.620333,347.28,152.227666,133.079,154.771333
68,361.865333,363.083333,347.206666,151.123333,131.736666,153.6
69,361.625333,362.904,346.925,150.037,130.589666,152.531333
70,361.521333,362.501333,346.512666,148.924333,129.599333,151.442666
71,361.521666,362.258,346.230333,147.632333,128.71,150.184333
72,361.164666,361.91,345.890666,146.422666,127.748666,149.078
73,360.985,361.787666,345.729666,145.188333,126.712,147.816333
74,360.749666,361.617666,345.398333,144.048,125.758,146.632666
75,360.541333,361.338666,345.164333,142.941333,124.901666,145.347333
76,360.234333,361,345.103666,141.861333,124.077333,144.071666
77,359.880333,360.594666,345.076666,140.806,123.224,142.796
78,359.644,359.980333,344.896333,139.723,122.319333,141.603666
79,359.330666,359.235666,344.480666,138.721333,121.320333,140.490333
80,358.930666,358.590333,344.104,137.713,120.262666,139.438666
81,358.619333,358.252,343.836,136.626333,119.231,138.446666
82,358.407333,358.072666,343.578333,135.583333,118.301333,137.414333
83,358.293333,357.678666,343.513333,134.51,117.457,136.358333
84,358.046666,357.371333,343.459,133.522666,116.506,135.163333
85,357.691,356.985333,343.362333,132.47,115.598666,133.996333
86,357.285333,356.849333,342.852333,131.554666,114.733333,132.898333
87,357.199333,356.38,342.419,130.660333,114.080666,131.846666
88,357.031666,355.94,342.065,129.781666,113.292333,130.775
89,356.842333,355.675666,342.001,128.854,112.329,129.775333
90,356.313,355.704,341.833333,127.966,111.278,128.873
91,355.773333,355.81,341.544333,126.971333,110.177,128.090333
92,355.685666,355.573333,341.204333,126.054,109.197333,127.082333
93,355.691666,355.283333,341.102666,125.061,108.394666,126.003333
94,355.943666,355.094666,340.804333,124.170666,107.847333,125.117333
95,355.561,355.051,340.669,123.287666,107.130666,124.278
96,355.109,354.775333,340.113333,122.436,106.393,123.481
97,354.864333,354.503666,339.955666,121.749333,105.606666,122.526333
98,354.723666,353.972,339.767666,120.938666,105.075333,121.575
99,354.552,353.754,339.718,120.162666,104.453666,120.782333
100,354.268333,353.329666,339.629,119.269333,103.781333,119.934333
101,354.112333,353.007,339.486,118.485,103.013333,118.973
102,354.104,352.661333,339.378333,117.803666,102.251333,117.993666
103,353.884333,352.394333,339.069666,117.086333,101.551333,117.162666
104,353.683333,352.365,338.737333,116.337,100.923666,116.632333
105,353.39,352.270666,338.445333,115.503,100.277666,115.965
106,352.829,351.997,338.396666,114.640333,99.596333,115.213
107,352.364,351.700666,338.225666,113.714333,98.869,114.357
108,352.095666,351.527333,337.992,112.876333,98.174333,113.514333
109,352.165,351.456,337.66,112.262333,97.577,112.689
110,352.13,351.297666,337.453,111.736333,97.036999,111.951333
111,351.891333,351.091,337.318666,111.106,96.459666,111.286
112,351.660666,350.956666,337.060333,110.316,95.856333,110.569
113,351.377,350.765666,336.879333,109.430333,95.300333,109.764333
114,351.264333,350.49,336.672,108.621,94.789666,108.821666
115,351.000666,350.234,336.516,107.996,94.242,108.001666
116,350.929333,349.966333,336.337333,107.495333,93.553999,107.400333
117,350.685,349.748666,336.179,106.961666,92.913333,106.836666
118,350.625,349.440666,336.116666,106.229333,92.327333,106.194666
119,350.359666,349.359,336.004,105.571666,91.906666,105.392333
120,350.366666,349.402,335.893666,104.996333,91.425999,104.701333
121,350.214,349.421666,335.683333,104.450333,90.943666,104.125333
122,350.135333,349.215666,335.498333,103.762333,90.330333,103.555333
123,349.894,348.686333,335.367666,103.001333,89.798,103.039333
124,349.694333,348.330333,335.346333,102.296666,89.278333,102.312
125,349.387333,348.150666,334.982666,101.774333,88.814666,101.564666
126,349.210666,348.217333,334.582666,101.244666,88.358999,100.814333
127,349.079666,348.310666,334.302666,100.654666,87.816666,100.194
128,349.086,348.109,334.288666,100.048666,87.316,99.618666
129,348.867,347.855666,334.268666,99.386666,86.765666,98.947666
130,348.663,347.571,334.112,98.846999,86.300333,98.301
131,348.336666,347.461666,334.056333,98.184666,85.878333,97.678666
132,348.213333,347.379,333.968666,97.697999,85.529333,97.145666
133,348.172,346.986333,333.776333,97.158333,85.083333,96.578666
134,348.267666,346.844333,333.433,96.775333,84.645,95.989999
135,348.175333,346.716,333.058666,96.241333,84.107333,95.367999
136,347.863666,346.682,332.806333,95.739999,83.669333,94.824999
137,347.486333,346.302666,332.507333,95.194,83.232999,94.304999
138,347.281333,345.91,332.26,94.729333,82.854,93.801999
139,347.177,345.54,332.138666,94.280666,82.498666,93.281666
140,347.139333,345.288,332.220333,93.849999,82.132333,92.804666
