,31 Trial 1,31 Trial 2 ,31 Trial 3,31 Triton Trial 1,31 Triton Trial 2 ,31 Triton Trial 3
Time ,Intensity ,Intensity,Intensity,Intensity ,Intensity,Intensity
1,52.082999,79.803,48.506,95.304,65.905,79.755
2,48.437666,77.849333,46.009333,91.979333,63.179333,76.676666
3,45.079999,75.929,43.689333,88.884999,60.633666,73.661
4,42.095666,74.096333,41.593,85.958666,58.373,70.774
5,39.343,72.202666,39.662,83.005333,56.263333,67.834
6,36.888666,70.255,37.86,80.081333,54.343666,65.094666
7,34.695333,68.439666,36.192666,77.344666,52.449333,62.425666
8,32.688999,66.822666,34.642,74.802333,50.598333,60.014333
9,30.812333,65.42,33.171333,72.318666,48.730999,57.758666
10,29.090666,63.923666,31.826666,69.903,47.011333,55.736666
11,27.579333,62.387999,30.551333,67.520666,45.411666,53.729333
12,26.263,60.919333,29.392666,65.292666,43.893,51.812666
13,25.077,59.652666,28.314333,63.169333,42.439666,50.022
14,24.002,58.523333,27.353666,61.127,41.108,48.337
15,22.995,57.470666,26.466,59.168333,39.837333,46.741
16,22.070333,56.423666,25.623666,57.292333,38.557333,45.232666
17,21.223333,55.384333,24.824666,55.507,37.333333,43.774666
18,20.451333,54.409666,24.064,53.831,36.273,42.363666
19,19.776333,53.509666,23.344,52.268333,35.315666,41.031666
20,19.179666,52.646333,22.666,50.754666,34.343333,39.779333
21,18.629333,51.777333,22.053333,49.201666,33.376,38.567
22,18.099,50.943333,21.472333,47.636,32.436666,37.324666
23,17.62,50.173333,20.888666,46.223,31.568,36.232
24,17.219666,49.501,20.397333,44.98,30.705666,35.233333
25,16.84,48.813333,19.968333,43.770666,29.961666,34.301666
26,16.473333,48.286666,19.605333,42.531333,29.160666,33.397666
27,16.163666,47.71,19.220666,41.29,28.447333,32.448333
28,15.912,47.179333,18.825,40.161666,27.663,31.654666
29,15.699666,46.487333,18.469,39.105666,27.012666,30.818
30,15.420333,45.855333,18.082666,38.082666,26.385,30.061333
31,15.212666,45.320666,17.751666,37.107333,25.811333,29.231666
32,15.001666,44.848333,17.426666,36.179333,25.286,28.505333
33,14.861333,44.405666,17.199333,35.293,24.806666,27.846333
34,14.663333,43.897333,16.943,34.391,24.301666,27.223333
35,14.517666,43.395999,16.712333,33.496666,23.760666,26.651666
36,14.372666,42.988,16.414,32.690666,23.244666,26.071
37,14.287333,42.61,16.182,31.912666,22.783666,25.583
