,Trial 1,Trial 2,Trial 3,Triton Trial 1,Triton Trial 2,Triton Trial 3
Time,Intensity,Intensity,Intensity,Intensity,Intensity,Intensity
1,170.342,141.695,143.276,91.802,95.375,79.295
2,168.260666,139.615,140.616,88.963666,92.297999,76.321333
3,166.352666,137.484,138.22,86.115666,89.250999,73.401333
4,164.490333,135.240666,135.837,83.288999,86.325666,70.576333
5,162.911666,133.165333,133.357666,80.533666,83.39,67.727333
6,161.225,130.999,130.794333,77.963333,80.534333,65.020999
7,159.627666,128.962,128.521333,75.502332,77.909333,62.549333
8,157.827333,126.848,126.228,73.063999,75.564666,60.230999
9,156.116333,124.951333,124.035333,70.677333,73.388666,58.044
10,154.269,123.071333,121.998,68.342665,71.218333,55.844
11,152.580666,121.283333,120.095,66.253666,69.051333,53.818
12,150.976666,119.514333,118.277,64.223665,67.059,51.806
13,149.521333,117.791333,116.35,62.331666,65.197333,49.892333
14,148.069666,116.106333,114.452,60.462333,63.387,48.093999
15,146.575,114.507666,112.682666,58.677,61.675,46.480666
16,145.149333,112.916333,111.020333,56.961,60.030666,44.956666
17,143.876333,111.259,109.398333,55.246666,58.496666,43.419999
18,142.655333,109.635,107.739333,53.573333,57.045666,41.913666
19,141.41,108.206666,106.113666,51.946666,55.606,40.502333
20,140.199333,106.875,104.61,50.369,54.226333,39.187333
21,139.004333,105.363,103.143666,48.910999,52.926333,37.907999
22,137.879333,103.779,101.665666,47.573333,51.787333,36.655333
23,136.665666,102.305,100.072666,46.352,50.666666,35.439333
24,135.461333,101.125333,98.486999,45.172666,49.484666,34.263
25,134.277,99.904333,97.011,43.956666,48.306666,33.114
26,133.008,98.611999,95.639666,42.807666,47.240333,32.065666
27,131.823666,97.249333,94.362333,41.635666,46.285333,31.136666
28,130.742333,95.860666,92.975,40.626666,45.391333,30.254
29,129.585,94.675999,91.822,39.506333,44.455,29.377333
30,128.5,93.417333,90.414333,38.521666,43.541333,28.510333
31,127.397333,92.378666,89.355666,37.459666,42.675333,27.628
32,126.508333,91.200999,88.11,36.505333,41.795,26.827333
33,125.549666,90.250999,87.153333,35.569666,41.060333,26.053333
34,124.426,89.174333,85.844333,34.754,40.259666,25.347333
35,123.395333,88.147333,84.692999,33.932,39.586,24.582666
36,122.415666,86.899666,83.596666,33.123,38.906666,23.883333
37,121.545666,85.779333,82.620666,32.244,38.327,23.237
38,120.655666,84.773,81.594333,31.423333,37.78,22.637333
39,119.718333,83.961666,80.546,30.646,37.13,21.990666
40,118.829333,83.028333,79.608333,29.952,36.526666,21.411666
41,117.879,82.089,78.654333,29.329,35.907,20.861333
42,117.006333,81.096999,77.634333,28.804,35.361333,20.402
43,116.224666,80.268333,76.563999,28.273,34.810333,19.929333
44,115.559333,79.446666,75.559333,27.684333,34.294666,19.458666
45,114.869666,78.671666,74.614999,26.990666,33.792,18.963666
46,114.079,77.854666,73.760666,26.325666,33.268666,18.488333
47,113.196,77.045999,72.974333,25.728666,32.717333,18.035
48,112.425666,76.277,72.271,25.169666,32.185,17.574333
49,111.811333,75.425333,71.591333,24.641333,31.735,17.136
50,111.127333,74.500999,70.810999,24.137333,31.366333,16.777666
51,110.281333,73.590666,69.963666,23.681333,31.027666,16.488333
52,109.375666,72.783333,69.092333,23.247,30.671,16.195666
53,108.592666,72.094333,68.191,22.809,30.271333,15.897
54,107.880333,71.262333,67.369,22.401666,29.813333,15.55
55,107.227333,70.539999,66.542333,21.992666,29.429333,15.205666
56,106.526666,69.697333,65.817,21.580666,29.061,14.888333
57,105.909333,68.975333,65.216333,21.087333,28.783,14.608333
58,105.22,68.281666,64.619,20.613333,28.501,14.376666
59,104.502,67.570333,63.970666,20.213,28.213333,14.069333
60,103.701,66.803,63.167333,19.871,27.991,13.780666
61,103.014,66.174333,62.388333,19.568666,27.691,13.525
62,102.323666,65.539999,61.815666,19.255333,27.447,13.321
63,101.782333,65.033666,61.158333,18.949333,27.176666,13.145
64,101.104,64.343666,60.547666,18.675333,26.838,12.92
65,100.437333,63.735333,59.894333,18.336333,26.546,12.733
66,99.804,63.130999,59.333666,18.017333,26.195333,12.506
67,99.255,62.480333,58.778333,17.663,25.910666,12.273
68,98.814333,61.910333,58.151666,17.381,25.65,12.013333
69,98.211,61.346666,57.599999,17.084666,25.474666,11.796
70,97.602333,60.821333,57.016333,16.827,25.314333,11.628666
71,96.939666,60.263333,56.419,16.607333,25.072,11.488666
72,96.342333,59.665333,55.841666,16.429666,24.787,11.299666
73,95.789999,59.112333,55.324333,16.243333,24.534333,11.074666
74,95.373666,58.557,54.786666,16.08,24.321666,10.859666
75,94.896333,58.012333,54.189,15.877666,24.078333,10.723
76,94.325333,57.437666,53.526666,15.66,23.851666,10.639666
77,93.665333,56.873333,52.973,15.433,23.665,10.558333
78,93.046666,56.361666,52.560666,15.202666,23.497333,10.463666
79,92.462666,55.891,52.199,14.966,23.318333,10.378666
80,91.884333,55.436333,51.765,14.741,23.137,10.308
81,91.382333,54.970666,51.261333,14.550666,22.996,10.237333
82,90.949333,54.496333,50.824666,14.360666,22.880666,10.146333
83,90.563,54.046,50.423,14.161666,22.734666,10.036
84,90.128666,53.637,49.966666,14.002333,22.572,9.958333
85,89.646999,53.277333,49.447333,13.874333,22.405666,9.847999
86,89.163333,52.864333,48.982333,13.764,22.237,9.758333
87,88.691666,52.308666,48.588333,13.635333,22.118,9.637666
88,88.354999,51.762,48.221666,13.503666,21.981333,9.526333
89,87.906666,51.317333,47.833666,13.359,21.801,9.391999
90,87.345,50.971,47.420333,13.238333,21.626,9.236666
91,86.741999,50.531333,47.083,13.111333,21.461666,9.132999
92,86.286666,50.034,46.712,12.982333,21.322333,9.065333
93,85.973,49.621666,46.313,12.825,21.152666,8.995666
94,85.607999,49.346333,45.885666,12.735666,21.005666,8.950333
95,85.153333,49.093,45.435333,12.618666,20.891333,8.876666
96,84.754333,48.695333,45.098,12.46,20.762,8.847
97,84.241333,48.143333,44.674,12.277666,20.594666,8.790666
98,83.817666,47.674666,44.311333,12.142666,20.468,8.740333
99,83.262,47.321,43.965,12.042666,20.328333,8.671666
100,82.787666,47.057,43.614,11.937666,20.195333,8.589666
101,82.244,46.752,43.306666,11.838666,20.045333,8.516666
102,81.756666,46.468,42.901666,11.755333,19.925,8.413666
103,81.334666,46.176666,42.596666,11.666666,19.827,8.346666
104,80.976333,45.849333,42.287333,11.580333,19.737333,8.287333
105,80.642999,45.443333,41.997,11.490333,19.648333,8.268999
106,80.225666,45.017,41.698333,11.386,19.574333,8.204666
107,79.791666,44.654,41.355666,11.269666,19.488666,8.127666
108,79.402333,44.383,41.06,11.174666,19.370666,8.051
109,79.107333,44.138666,40.800666,11.074,19.259333,7.988999
110,78.854666,43.851666,40.560333,10.969,19.177666,7.947666
111,78.556333,43.540333,40.292333,10.865666,19.091666,7.908333
112,78.232999,43.223,39.961666,10.783333,18.978333,7.852
113,77.909666,42.916666,39.645666,10.750333,18.87,7.784666
114,77.581333,42.655333,39.343666,10.707,18.781,7.728
115,77.276333,42.360333,39.015333,10.653666,18.679666,7.681333
116,76.887666,42.016,38.729333,10.577,18.566666,7.653333
117,76.519666,41.624666,38.452333,10.506666,18.429666,7.622333
118,76.103999,41.342333,38.205333,10.456333,18.336333,7.595666
119,75.681,41.087333,37.995,10.403666,18.222,7.558666
120,75.337666,40.858999,37.763333,10.355333,18.121666,7.507333
121,74.991666,40.648999,37.570666,10.336666,17.989333,7.471333
122,74.785333,40.483,37.252,10.339333,17.907,7.451666
123,74.472333,40.252666,37.017666,10.344333,17.870666,7.438
124,74.122333,39.951333,36.727333,10.309333,17.842,7.420333
125,73.673333,39.589666,36.455666,10.287,17.766,7.396666
126,73.203333,39.300999,36.095333,10.257333,17.678333,7.372666
127,72.915666,39.076333,35.864999,10.232,17.582666,7.372
128,72.623333,38.888333,35.739333,10.177,17.459666,7.358333
129,72.318,38.704333,35.576666,10.110333,17.323666,7.357333
